CMDLINE c:\users\saeed\miniconda3\envs\tf_v2\python.exe Torch_BigData_Dataset.py
MEM 0.523438 1594891174.6066
MEM 6.917969 1594891174.7376
MEM 8.296875 1594891174.8556
MEM 9.457031 1594891174.9576
MEM 11.351562 1594891175.0766
MEM 12.687500 1594891175.2766
MEM 13.046875 1594891175.3766
MEM 15.500000 1594891175.4776
MEM 16.671875 1594891175.5786
MEM 17.550781 1594891175.6876
MEM 18.972656 1594891175.7896
MEM 20.503906 1594891175.8905
MEM 21.507812 1594891175.9906
MEM 22.144531 1594891176.0936
MEM 23.460938 1594891176.2466
MEM 23.835938 1594891176.3476
MEM 25.039062 1594891176.4916
MEM 25.589844 1594891176.6115
MEM 25.925781 1594891176.7306
MEM 26.269531 1594891176.8465
MEM 26.339844 1594891176.9596
MEM 26.402344 1594891177.1066
MEM 26.402344 1594891177.2586
MEM 27.898438 1594891177.3616
MEM 31.214844 1594891177.4716
MEM 37.476562 1594891177.5716
MEM 42.468750 1594891177.6726
MEM 44.582031 1594891177.7726
MEM 46.632812 1594891177.8726
MEM 49.058594 1594891177.9726
MEM 53.242188 1594891178.0766
MEM 55.027344 1594891178.1906
MEM 56.570312 1594891178.3166
MEM 57.886719 1594891178.4206
MEM 58.781250 1594891178.5216
MEM 59.332031 1594891178.6216
MEM 59.867188 1594891178.7216
MEM 60.769531 1594891178.8216
MEM 62.429688 1594891178.9226
MEM 62.777344 1594891179.0236
MEM 63.242188 1594891179.1276
MEM 63.531250 1594891179.2326
MEM 64.566406 1594891179.3326
MEM 66.257812 1594891179.4336
MEM 67.378906 1594891179.5346
MEM 68.535156 1594891179.6346
MEM 69.859375 1594891179.7346
MEM 70.859375 1594891179.8356
MEM 71.660156 1594891179.9366
MEM 72.515625 1594891180.0376
MEM 73.925781 1594891180.1436
MEM 74.382812 1594891180.2666
MEM 75.390625 1594891180.3666
MEM 77.449219 1594891180.4666
MEM 78.718750 1594891180.5676
MEM 80.019531 1594891180.6676
MEM 81.023438 1594891180.7686
MEM 81.984375 1594891180.8696
MEM 82.746094 1594891180.9706
MEM 83.664062 1594891181.0716
MEM 86.144531 1594891181.1716
MEM 87.914062 1594891181.2796
MEM 89.464844 1594891181.3816
MEM 91.882812 1594891181.4816
MEM 93.980469 1594891181.5826
MEM 95.648438 1594891181.6826
MEM 91.625000 1594891181.8106
MEM 95.300781 1594891181.9116
MEM 94.976562 1594891182.0126
MEM 93.863281 1594891182.1126
MEM 96.824219 1594891182.2466
MEM 92.164062 1594891182.3476
MEM 97.917969 1594891182.4476
MEM 95.421875 1594891182.5486
MEM 97.175781 1594891182.6496
MEM 92.171875 1594891182.7496
MEM 96.152344 1594891182.8496
MEM 92.179688 1594891182.9506
MEM 95.429688 1594891183.0516
MEM 92.183594 1594891183.1546
MEM 91.714844 1594891183.2846
MEM 95.574219 1594891183.3856
MEM 91.714844 1594891183.4866
MEM 94.144531 1594891183.5866
MEM 92.246094 1594891183.6876
MEM 92.246094 1594891183.7886
MEM 96.964844 1594891183.8906
MEM 95.496094 1594891183.9906
MEM 95.664062 1594891184.1006
MEM 92.246094 1594891184.2066
MEM 97.011719 1594891184.3076
MEM 95.496094 1594891184.4086
MEM 94.453125 1594891184.5096
MEM 94.875000 1594891184.6106
MEM 95.152344 1594891184.7106
MEM 95.089844 1594891184.8116
MEM 92.535156 1594891184.9126
MEM 92.250000 1594891185.0136
MEM 92.246094 1594891185.1146
MEM 94.996094 1594891185.2366
MEM 94.296875 1594891185.3376
MEM 92.246094 1594891185.4386
MEM 96.964844 1594891185.5396
MEM 94.644531 1594891185.6396
MEM 92.988281 1594891185.7396
MEM 92.246094 1594891185.8396
MEM 92.250000 1594891185.9406
MEM 92.308594 1594891186.0416
MEM 94.437500 1594891186.1416
MEM 92.308594 1594891186.2446
MEM 92.312500 1594891186.3446
MEM 92.308594 1594891186.4446
MEM 95.558594 1594891186.5456
MEM 95.800781 1594891186.6476
MEM 92.308594 1594891186.7476
MEM 92.308594 1594891186.8486
MEM 95.488281 1594891186.9496
MEM 92.308594 1594891187.0566
MEM 91.777344 1594891187.2086
MEM 92.308594 1594891187.3116
MEM 93.312500 1594891187.4136
MEM 97.488281 1594891187.5136
MEM 93.996094 1594891187.6145
MEM 92.312500 1594891187.7146
MEM 92.402344 1594891187.8156
MEM 92.308594 1594891187.9156
MEM 92.308594 1594891188.0166
MEM 92.308594 1594891188.1176
MEM 98.917969 1594891188.2196
MEM 92.308594 1594891188.3196
MEM 98.062500 1594891188.4216
MEM 92.308594 1594891188.5316
MEM 92.308594 1594891188.6336
MEM 92.312500 1594891188.7366
MEM 92.308594 1594891188.8556
MEM 99.144531 1594891188.9736
MEM 94.402344 1594891189.0736
MEM 92.308594 1594891189.1766
MEM 92.308594 1594891189.2996
MEM 92.308594 1594891189.4076
MEM 92.320312 1594891189.5086
MEM 92.308594 1594891189.6086
MEM 97.027344 1594891189.7096
MEM 95.519531 1594891189.8096
MEM 95.531250 1594891189.9096
MEM 92.898438 1594891190.0116
MEM 91.777344 1594891190.1126
MEM 92.308594 1594891190.2226
MEM 92.308594 1594891190.3226
MEM 94.433594 1594891190.4236
MEM 92.308594 1594891190.5506
MEM 97.312500 1594891190.6506
MEM 96.070312 1594891190.7516
MEM 91.773438 1594891190.8536
MEM 92.308594 1594891190.9556
MEM 92.312500 1594891191.0556
MEM 92.308594 1594891191.1596
MEM 91.777344 1594891191.2616
MEM 92.308594 1594891191.3616
MEM 92.308594 1594891191.4626
MEM 92.308594 1594891191.5635
MEM 96.140625 1594891191.6635
MEM 97.062500 1594891191.7636
MEM 93.632812 1594891191.8636
MEM 95.312500 1594891191.9646
MEM 95.558594 1594891192.0656
MEM 92.308594 1594891192.1656
MEM 92.308594 1594891192.2886
MEM 92.312500 1594891192.3886
MEM 94.503906 1594891192.4966
MEM 91.777344 1594891192.5976
MEM 92.574219 1594891192.6976
MEM 97.390625 1594891192.7986
MEM 95.269531 1594891192.8996
MEM 95.257812 1594891193.0006
MEM 95.906250 1594891193.1016
MEM 92.574219 1594891193.2026
MEM 92.574219 1594891193.3026
